iter	Passed	Remaining
0	142	142758
1	145	72699
2	148	49327
3	151	37640
4	153	30631
5	157	26020
6	159	22680
7	162	20153
8	165	18186
9	167	16584
10	170	15319
11	173	14255
12	175	13336
13	178	12560
14	180	11876
15	183	11295
16	187	10815
17	189	10360
18	192	9926
19	194	9530
20	196	9177
21	199	8872
22	202	8603
23	205	8359
24	208	8117
25	210	7894
26	213	7702
27	216	7515
28	219	7333
29	221	7171
30	224	7016
31	227	6874
32	229	6737
33	232	6616
34	235	6504
35	238	6390
36	241	6291
37	245	6204
38	247	6106
39	250	6008
40	252	5915
41	255	5830
42	258	5746
43	260	5665
44	263	5588
45	265	5516
46	268	5447
47	271	5381
48	273	5314
49	276	5252
50	279	5205
51	282	5148
52	285	5109
53	289	5064
54	292	5017
55	294	4962
56	298	4932
57	300	4888
58	303	4845
59	306	4804
60	309	4760
61	311	4718
62	314	4673
63	317	4637
64	319	4599
65	322	4562
66	325	4525
67	328	4498
68	331	4468
69	334	4440
70	337	4416
71	340	4388
72	343	4359
73	345	4326
74	348	4298
75	350	4260
76	353	4232
77	355	4205
78	358	4179
79	361	4152
80	363	4126
81	366	4100
82	369	4077
83	371	4052
84	374	4028
85	376	4003
86	379	3981
87	381	3958
88	384	3935
89	387	3918
90	390	3900
91	393	3881
92	395	3853
93	397	3834
94	400	3816
95	403	3798
96	405	3779
97	408	3761
98	410	3738
99	413	3720
100	416	3708
101	419	3692
102	422	3677
103	425	3662
104	427	3648
105	430	3633
106	433	3617
107	436	3602
108	438	3587
109	441	3573
110	444	3560
111	447	3544
112	449	3531
113	452	3518
114	455	3504
115	458	3494
116	461	3484
117	464	3472
118	467	3460
119	470	3448
120	473	3438
121	476	3426
122	478	3413
123	481	3403
124	484	3392
125	487	3382
126	491	3375
127	493	3360
128	495	3347
129	499	3341
130	502	3336
131	505	3326
132	508	3316
133	511	3307
134	514	3296
135	517	3284
136	519	3274
137	522	3263
138	525	3252
139	527	3242
140	530	3233
141	533	3223
142	536	3213
143	538	3203
144	541	3194
145	544	3185
146	547	3176
147	549	3165
148	552	3155
149	555	3146
150	558	3138
151	561	3131
152	563	3117
153	565	3105
154	567	3096
155	570	3087
156	573	3079
157	576	3072
158	579	3062
159	581	3054
160	584	3045
161	587	3036
162	590	3032
163	593	3025
164	596	3017
165	598	3009
166	601	3001
167	605	2996
168	608	2992
169	612	2988
170	615	2982
171	618	2977
172	622	2973
173	624	2966
174	628	2960
175	631	2954
176	633	2946
177	636	2939
178	639	2933
179	642	2926
180	645	2920
181	648	2913
182	650	2906
183	653	2898
184	656	2891
185	659	2884
186	661	2876
187	664	2869
188	667	2863
189	670	2856
190	672	2847
191	675	2841
192	692	2897
193	696	2895
194	700	2891
195	703	2886
196	706	2881
197	708	2871
198	712	2866
199	715	2861
200	718	2857
201	722	2852
202	725	2847
203	728	2841
204	731	2837
205	734	2832
206	738	2827
207	741	2821
208	744	2816
209	746	2810
210	749	2802
211	752	2796
212	755	2791
213	757	2781
214	760	2776
215	763	2772
216	766	2767
217	769	2761
218	772	2756
219	775	2750
220	778	2744
221	781	2738
222	784	2733
223	787	2728
224	790	2723
225	793	2718
226	797	2714
227	799	2707
228	802	2702
229	805	2695
230	808	2691
231	811	2685
232	814	2679
233	816	2674
234	819	2667
235	822	2663
236	826	2659
237	830	2657
238	833	2654
239	838	2654
240	841	2650
